location,job_count
"Washington, District of Columbia",16
Multiple Locations,13
"Tyndall AFB, Florida",6
"Fort Meade, Maryland",5
"Lincoln, Nebraska",4
"Alexandria, Virginia",4
"Portland, Oregon",4
Location Negotiable After Selection,3
"Birmingham, Alabama",2
"Ford Island, Hawaii",2
"Gulfport, Mississippi",2
"Whitehall, Ohio",2
"Eielson AFB, Alaska",2
"Vaihingen, Germany",2
"Millington, Tennessee",2
"Naval Air Station Jacksonville, Florida",2
"Middletown, Pennsylvania",2
"Norfolk, Virginia",2
"Pearl Harbor, Hawaii",2
"Westhampton Beach, New York",2
