title,organization,location,apply_url
IT SPECIALIST (CUSTSPT),Defense Information Systems Agency,"Hill AFB, Utah",https://www.usajobs.gov:443/job/858611000
IT Specialist (APPSW),Office of Personnel Management,Multiple Locations,https://www.usajobs.gov:443/job/859381500
IT SPECIALIST (CUSTSPT),Naval Sea Systems Command,"Port Hueneme, California",https://www.usajobs.gov:443/job/859111000
"JAN 2026 IT CAREER FIELD: IT Mission Support, IT Specialist (NON STEM)",Defense Intelligence Agency,"Washington, District of Columbia",https://www.usajobs.gov:443/job/856267700
"JAN 2026 IT Career Field: IT Mission Support, IT Specialist GG 15 (Non STEM)",Defense Intelligence Agency,"Washington, District of Columbia",https://www.usajobs.gov:443/job/856267800
IT SPECIALIST (NETWORK),Defense Media Activity,"Fort Meade, Maryland",https://www.usajobs.gov:443/job/859011700
IT SPECIALIST (APPSW),Defense Information Systems Agency,"Tinker AFB, Oklahoma",https://www.usajobs.gov:443/job/858662100
Information Technology Technician,U.S. Courts,"Birmingham, Alabama",https://www.usajobs.gov:443/job/858332800
NRO IG IT Auditor,Central Intelligence Agency,"Washington, District of Columbia",https://www.usajobs.gov:443/job/853838500
SUPV IT SPECIALIST (CUSTSPT),Defense Information Systems Agency,Multiple Locations,https://www.usajobs.gov:443/job/859351700
IT PROJECT MANAGER (PLCYPLN),Defense Information Systems Agency,"Ford Island, Hawaii",https://www.usajobs.gov:443/job/858423400
IT Specialist,Chemical Safety and Hazard Investigation Board,"Washington, District of Columbia",https://www.usajobs.gov:443/job/859342700
IT Specialist (CUSTSPT),Armed Forces Retirement Home,"Gulfport, Mississippi",https://www.usajobs.gov:443/job/859251700
IT Specialist (CUSTSPT),Armed Forces Retirement Home,"Gulfport, Mississippi",https://www.usajobs.gov:443/job/859252200
IT SPECIALIST (SYSADMIN),STRATEGIC SYSTEMS PROGRAMS (SSP),"Bangor, Washington",https://www.usajobs.gov:443/job/858196200
Information Technology Technician,U.S. Courts,"Philadelphia, Pennsylvania",https://www.usajobs.gov:443/job/857847900
IT Specialist (CUSTSPT),Defense Logistics Agency,"Whitehall, Ohio",https://www.usajobs.gov:443/job/859460900
IT SPECIALIST (CUSTSPT),Air National Guard Units,"Eielson AFB, Alaska",https://www.usajobs.gov:443/job/858223500
IT SPECIALIST (CUSTSPT) (T5),Air National Guard Units,"Birmingham, Alabama",https://www.usajobs.gov:443/job/859252100
IT SPECIALIST (OS/CUSTSPT),Defense Logistics Agency,"New Cumberland Defense Logistics Center, Pennsylvania",https://www.usajobs.gov:443/job/858658700
SUPV IT SPECIALIST (SYSADMIN),Defense Information Systems Agency,Multiple Locations,https://www.usajobs.gov:443/job/858872000
IT SPECIALIST (SYSADMIN),Air National Guard Units,"Reno, Nevada",https://www.usajobs.gov:443/job/858555200
IT Project Manager (APPSW),Defense Logistics Agency,Multiple Locations,https://www.usajobs.gov:443/job/859227500
IT SPECIALIST (SYSANALYSIS),Defense Information Systems Agency,"Fort Meade, Maryland",https://www.usajobs.gov:443/job/859306700
IT PROJECT MANAGER (APPSW),Defense Finance and Accounting Service,Multiple Locations,https://www.usajobs.gov:443/job/858344700
